ES-FIN_HSBC_01_1,HSBC,CHECK,20241020
HK-FIN_004_01_1,香港上海匯豐銀行,支票,20241020
HK-FIN_229_01_1,中國信託銀行,支票,20241020
HK-FIN_megabank_01_1,香港兆豐銀行,支票,20241020
JP-KIGY_JFE_STEEL_001_1,西日本製鉄所,SERVICE CARD,20241020
JP-KIGY_POST_001_1,郵便局,代金引換,20241020
TW-ADM_ACC_0000_1,會計類,領款簽收單,20250114
TW-ADM_ACC_1001_1,會計類,現金支出傳票,20250114
TW-ADM_ACC_1002_1,會計類,支出證明單,20250114
TW-ADM_ACC_1003_1,會計類,支出證明單(加新),20250114
TW-ADM_ACC_2001_1,會計類,轉帳傳票(美加美),20250114
TW-ADM_ACC_2002_1,會計類,轉帳傳票(南冠),20250114
TW-ADM_ACC_2003_1,會計類,轉帳傳票(天德),20250114
TW-ADM_ACC_2004-HSBC_1,會計類,轉帳傳票(萬國牌),20250114
TW-ADM_ACC_9001-LeeWey-PayPacket_1,會計類,薪資袋(黑框 立威企業社),20250114
TW-ADM_OFF_9001-wanyuh-320_1,會計類,薪資袋(15K 萬國牌-320),20250114
TW-ADM_ACC_9002_1,會計類,營業人銷貨退回進貨退出或折讓證明單,20250114
TW-ADM_ACC_9003-20131_1,會計類,電腦打鐘卡(萬年牌),20250114
TW-ADM_ACC_9004-201201(FR)_1,會計類,微電腦音樂打鐘卡(正面 萬年牌),20250114
TW-ADM_ACC_9005-201201(BK)_1,會計類,微電腦音樂打鐘卡(背面 萬年牌),20250114
TW-ADM_ACC_9006-UB-STAR-146x64_1,會計類,考勤卡(優美),20250114
TW-ADM_INV_CR-001_1,發票類,收銀機統一發票,20250114
TW-ADM_INV_CR-003_1,發票類,收銀機統一發票(3品項),20250114
TW-ADM_INV_FR-001_1,發票類,免用統一發票收據,20250114
TW-ADM_INV_FR-CPN-1085658801_1,發票類,商業本票(三乘三企業社),20250114
TW-ADM_INV_FR-HUAWEI-H5060_1,發票類,免用發票收據(華瑋文具),20250114
TW-ADM_INV_TPM-201_1,發票類,二聯式手開統一發票,20250114
TW-ADM_INV_TPM-202_1,發票類,二聯式手開統一發票(含地址),20250114
TW-ADM_INV_TPM-203_1,發票類,二聯式手開統一發票(單品項),20250114
TW-ADM_INV_TPM-301_1,發票類,三聯式手開統一發票,20250114
TW-ADM_INV_TPM-304_1,發票類,三聯式手開統一發票(含單位),20250114
TW-ADM_INV_TPM-306_1,發票類,三聯式發開統一發票(單品項、含幣別),20250114
TW-ADM_OFF_1001_1,辦公室,出貨單,20250114
TW-ADM_OFF_1002-CANIN-B118A_1,辦公室,送貨單(56K 三聯 美加美),20250114
TW-ADM_OFF_CONT-LBL-74x111_1,辦公室,連續報表式標籤紙,20250114
TW-ADM_OFF_LeeWey-ABC-45501_1,辦公室,標準信封(12K 立威企業),20250114
TW-CORP_02-22116036_01_1,公崙華城大廈管理委員會,管理費收繳單,20250113
TW-CORP_19326891_01_1,陛廈管理委員會,收據通知,20250113
TW-CORP_24989130_01_1,懋桔傢俱有限公司,連續橫式信封,20250113
TW-CORP_26896170_1223_1,宏嘉食品行,橫式信封,20250113
TW-CORP_26896170_1825_1,宏嘉食品行,橫式信封,20250113
TW-CORP_27257572_01_1,南北海運股份有限公司,船票,20250113
TW-CORP_27995445_01_1,豐田生技資訊股份有限公司,通知單,20250113
TW-CORP_28146202_01_1,文景五金實業有限公司,SERVICE CARD,20250113
TW-CORP_31111500_01_1,名川企業有限公司,信封,20250113
TW-CORP_45429345_01_1,勝倢企業社,出貨單,20250113
TW-CORP_54546669_01_1,愛登管理顧問有限公司,薪資表,20250113
TW-CORP_54849896_01_1,群創保全股份有限公司,支出證明單,20250113
TW-CORP_58402501_01_1,奧創電有限公司,出貨單,20250113
TW-CORP_80105651_01_1,鉅朋企業股份有限公司,直式信封121_251,20250113
TW-CORP_84373192_01_1,捷楠鋼鐵有限公司,無輻射副聯,20250113
TW-CORP_85085964_01_1,續耀建材有限公司,請款單,20250113
TW-CORP_87577748_01_1,和亞企業社,出貨單-中一刀,20250113
TW-CORP_93483683_01_1,東暘興業有限公司,橫式信封,20250113
TW-CORP_93483683_02_1,東暘興業有限公司,東暘回郵信封,20250113
TW-CORP_CGTECH_01_1,卓基科技股份有限公司,橫式信封,20250113
TW-CORP_chienti_01_,建迪企業股份有限公司,建迪交貨單,20250113
TW-CORP_CSC_01_1,中國鋼鐵股份有限公司,中鋼公司送貨同意書,20250113
TW-CORP_CSC_02_1,中國鋼鐵股份有限公司,物品攜出單,20250113
TW-CORP_HFCFINANCE_3-11005_1,和潤企業股份有限公司,動產抵押契約書,20250113
TW-CORP_HFCFINANCE_5-11005_1,和潤企業股份有限公司,動產擔保交易登記申請書,20250113
TW-CORP_HFCFINANCE_7-11005_1,和潤企業股份有限公司,車輛買賣合約書(出售),20250113
TW-CORP_HFCFINANCE_FR-BA-022-012_1,和潤企業股份有限公司,車輛動產抵押契約書,20250113
TW-CORP_HFCFINANCE_FR-BA-025-004_1,和潤企業股份有限公司,動產擔保交易登記申請書,20250113
TW-CORP_HFCFINANCE_FR-BA-A4_1,和潤企業股份有限公司,汽車銷售合約書,20250113
TW-CORP_TaiJune_01_1,大震企業股份有限公司,支付申領單,20250113
TW-CORP_TaiJune_02_1,大震企業股份有限公司,交貨單,20250113
TW-CORP_THT-EX_01_1,久鑫科技股份有限公司,橫式小信封,20250113
TW-CORP_THT-EX_02_1,久鑫科技股份有限公司,橫式信封,20250113
TW-CORP_Youli_01_1,油力油壓工業股份有限公司,油力檢驗單,20250113
TW-CORP_YuCheng_01_1,于誠工業有限公司,分錄傳票,20250113
TW-CORP_YunCheng_01_1,允晟照明股份有限公司,營業人銷貨退回進貨退出或折讓證明單,20250113
TW-CORP_YuYo_01_1,昱佑牙體技術所,橫式信封,20250113
TW-FIN_004_01_1,臺灣銀行,支票,20241020
TW-FIN_004_01NoStub_1,臺灣銀行,支票-無存根聯,20241020
TW-FIN_004_02_1,臺灣銀行,本票,20241020
TW-FIN_004_03_1,臺灣銀行,公庫支票,20241020
TW-FIN_004_11_1,臺灣銀行,連續報表式支票(一聯),20241020
